movie_id,genre
146,Adventure
146,Drama
146,War
147,Animation
147,Family
148,Adventure
148,Action
148,Thriller
149,Action
149,Fantasy
149,Comedy
150,Action
150,Thriller
150,Science Fiction
150,Adventure
151,Action
151,Adventure
151,Comedy
151,Science Fiction
152,Adventure
152,Action
152,Animation
153,Action
153,Adventure
153,Animation
153,Comedy
153,Family
154,Action
154,Thriller
154,Adventure
155,Fantasy
155,Animation
155,Family
156,Comedy
157,Drama
157,Action
157,War
157,History
158,Adventure
158,Drama
158,Action
159,Science Fiction
159,Action
159,Adventure
160,Fantasy
160,Action
161,Fantasy
161,Action
161,Adventure
161,Animation
161,Comedy
161,Family
162,Fantasy
163,Action
164,Action
164,Mystery
164,Science Fiction
165,Action
165,Adventure
165,Comedy
165,Crime
165,Thriller
166,Drama
166,Action
166,Science Fiction
167,Adventure
167,Action
167,Science Fiction
167,Thriller
168,Action
168,Adventure
168,Comedy
168,Drama
168,Mystery
169,Adventure
169,Action
169,Animation
169,Fantasy
169,Science Fiction
169,Thriller
170,Action
170,Adventure
170,Science Fiction
171,Adventure
171,Action
171,Thriller
172,Adventure
173,Adventure
173,Fantasy
173,Drama
173,Romance
174,Animation
174,Comedy
174,Family
175,Science Fiction
175,Action
175,Adventure
176,Adventure
176,Family
176,Fantasy
177,Western
177,Drama
177,Adventure
177,Thriller
178,Animation
178,Family
179,Animation
179,Comedy
179,Family
179,Western
179,Adventure
180,Family
180,Animation
180,Adventure
180,Comedy
181,Action
181,Drama
181,Mystery
181,Thriller
182,Adventure
182,Animation
182,Family
182,Comedy
183,Science Fiction
183,Action
183,Adventure
184,Adventure
184,Action
184,Science Fiction
185,Fantasy
185,Comedy
185,Animation
185,Science Fiction
185,Family
186,Adventure
186,Thriller
186,Science Fiction
187,Adventure
187,Action
187,Comedy
187,Thriller
187,Crime
188,Action
188,Adventure
188,Animation
188,Family
188,Fantasy
189,Action
189,Mystery
189,Thriller
190,Drama
190,Adventure
191,Adventure
191,Animation
191,Mystery
192,Adventure
192,Fantasy
192,Family
193,Drama
194,Science Fiction
194,Action
194,Adventure
195,Animation
195,Family
196,Adventure
196,Comedy
196,Fantasy
196,Family
197,Animation
197,Action
197,Comedy
197,Family
197,Science Fiction
198,Adventure
198,Fantasy
198,Family
199,Fantasy
199,Action
199,Comedy
199,Crime
200,Adventure
200,Fantasy
200,Action
201,Science Fiction
201,Adventure
201,Thriller
202,Thriller
202,Mystery
203,Animation
203,Adventure
203,Comedy
203,Family
204,Adventure
204,Action
204,Science Fiction
204,Thriller
205,Action
205,Thriller
205,Crime
206,Adventure
206,Action
206,Crime
206,Mystery
207,Adventure
207,Fantasy
207,Action
208,Action
208,Adventure
208,Science Fiction
209,Adventure
209,Fantasy
209,Action
210,Action
210,Thriller
211,Action
211,Crime
211,Fantasy
212,Family
212,Comedy
212,Fantasy
213,Action
213,Adventure
213,Science Fiction
213,Thriller
214,Adventure
214,Action
214,Thriller
215,Drama
216,Adventure
216,Fantasy
216,Action
216,Thriller
217,Adventure
217,Drama
217,Action
218,Thriller
218,Action
218,Fantasy
218,Horror
219,Action
219,Thriller
220,Action
220,Adventure
220,Comedy
221,Science Fiction
221,Adventure
221,Mystery
222,Family
222,Adventure
222,Animation
222,Comedy
223,Science Fiction
223,Action
223,Drama
223,Thriller
224,Action
224,Science Fiction
225,Action
225,Science Fiction
226,Action
226,Family
226,Science Fiction
227,Comedy
227,Drama
227,Romance
228,Action
228,Comedy
229,Action
229,Science Fiction
229,Adventure
229,Mystery
230,Science Fiction
230,Adventure
230,Action
231,Adventure
231,Action
231,Science Fiction
232,Animation
232,Comedy
232,Family
233,Action
233,Science Fiction
233,Adventure
233,Fantasy
234,Adventure
234,Action
234,Science Fiction
235,Adventure
235,Animation
235,Comedy
235,Family
235,Fantasy
236,Fantasy
236,Adventure
236,Comedy
236,Family
237,Drama
237,Action
237,History
237,War
238,Action
238,Adventure
238,Drama
239,Science Fiction
239,Action
239,Adventure
239,Fantasy
239,Comedy
240,Science Fiction
240,Thriller
240,Drama
241,Action
241,Adventure
241,Thriller
242,Fantasy
242,Action
242,Adventure
242,Comedy
243,Action
243,Adventure
243,Science Fiction
244,Action
244,Adventure
244,Comedy
244,Family
244,Fantasy
245,Action
245,Drama
245,Thriller
246,Adventure
246,Action
246,Thriller
247,Drama
247,History
247,War
247,Action
248,Thriller
248,Crime
249,Action
249,Comedy
249,Drama
249,Thriller
250,Adventure
250,Science Fiction
250,Thriller
251,Drama
252,Comedy
253,Action
253,Crime
253,Comedy
254,Action
254,War
255,Animation
255,Family
255,Adventure
255,Comedy
255,Fantasy
256,Animation
256,Family
257,Adventure
257,Science Fiction
258,Action
258,Science Fiction
258,Drama
259,Fantasy
259,Family
259,Comedy
259,Animation
260,Action
260,Adventure
260,Thriller
261,Science Fiction
261,Action
261,Adventure
262,Action
262,Thriller
263,Adventure
263,Fantasy
263,Action
264,Action
264,Adventure
264,Comedy
265,Drama
266,Comedy
266,Fantasy
266,Family
267,Action
267,Science Fiction
268,Drama
268,Action
268,Adventure
268,History
268,War
269,Animation
269,Fantasy
269,Family
269,Comedy
270,Romance
270,Family
270,Animation
270,Music
271,Drama
271,Adventure
271,Science Fiction
272,Action
272,Thriller
272,Science Fiction
272,Adventure
273,Comedy
273,Romance
274,Action
274,Crime
274,Thriller
275,Action
275,Drama
275,Adventure
276,Action
276,Thriller
276,Science Fiction
276,Mystery
277,Adventure
277,Fantasy
277,Family
278,Adventure
278,Action
278,Thriller
279,Thriller
279,Science Fiction
279,Action
279,Adventure
280,Action
280,Thriller
280,Science Fiction
281,History
281,Crime
281,Drama
282,Drama
282,Crime
283,Action
283,Thriller
284,Thriller
284,Drama
284,Crime
285,Comedy
285,Romance
286,Action
286,Comedy
286,Crime
287,Action
287,Drama
287,Mystery
287,Thriller
288,Drama
288,Western
289,Drama
289,Animation
289,Family
290,Adventure
290,Animation
290,Comedy
290,Family
290,Fantasy
291,Action
291,Adventure
291,Thriller
292,Adventure
292,Action
292,Thriller
292,Mystery
293,Fantasy
293,Action
293,Adventure
293,Family
294,Family
294,Fantasy
295,Animation
295,Adventure
295,Family
295,Fantasy
296,Action
296,Thriller
296,Romance
297,Action
297,Fantasy
297,Horror
297,Mystery
298,Drama
298,Thriller
298,Action
299,Crime
299,Drama
299,Comedy
300,Action
300,Crime
300,Fantasy
301,Adventure
301,Action
301,Thriller
301,Science Fiction
302,Drama
302,Science Fiction
303,Animation
303,Adventure
303,Family
303,Fantasy
304,Action
304,Crime
305,Action
305,Adventure
306,Adventure
306,Animation
306,Family
306,Fantasy
306,Science Fiction
307,Adventure
307,Comedy
307,Science Fiction
308,Action
308,Adventure
308,Thriller
309,Action
309,Crime
309,Thriller
310,Fantasy
310,Comedy
310,Family
310,Adventure
311,Thriller
311,Drama
311,Adventure
311,Action
311,History
312,Action
312,Comedy
312,Science Fiction
313,War
313,Action
313,Adventure
313,Drama
313,Thriller
314,Animation
315,Crime
315,Drama
315,Mystery
315,Thriller
316,Adventure
316,Action
316,Fantasy
317,Drama
317,History
317,Crime
318,Drama
318,History
318,War
319,Animation
319,Comedy
319,Family
320,Action
320,Comedy
320,Science Fiction
321,Action
321,History
321,War
322,Comedy
323,Adventure
323,Fantasy
323,Action
323,Thriller
323,Science Fiction
324,Comedy
324,Drama
324,Romance
325,Adventure
325,Animation
325,Comedy
325,Family
326,Animation
326,Comedy
326,Adventure
326,Family
327,Romance
327,Fantasy
327,Family
327,Drama
328,Fantasy
328,Drama
329,Animation
329,Family
330,Adventure
330,Fantasy
330,Action
331,Adventure
331,Fantasy
331,Action
332,Adventure
332,Fantasy
333,Adventure
333,Fantasy
333,Action
333,Thriller
334,Thriller
334,Science Fiction
334,Drama
334,Mystery
335,Adventure
335,Action
335,Thriller
335,Science Fiction
336,Thriller
336,Action
336,Drama
336,Science Fiction
337,Adventure
337,Family
